,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.07971284036390847,-0.048993437017192054,-0.05420175157984786,-0.046067940026584875,-0.05573110277552984,-0.016779299419295457,-0.060902777620622905,-0.1088630952074929,-0.045588679431171175,-0.05663709634936276,-0.02709038190397184,-0.029366575794198047,-0.015321893064515126,0.012654494756369539,-0.021231574262957187,-0.06608740409622005
pvalue,0.0038380756904577615,0.07148299215219199,0.04603677179120998,0.08862342515370256,0.03475064214944223,0.5216514993128489,0.027368006312908442,3.484589505098855e-05,0.009934280741632167,0.00022099154538608758,0.07968242275314769,0.06815145819504634,0.3347783847235035,0.4187464474632673,0.24838540810701992,0.0001986772095951635
lowerCI,-0.13375122935793976,-0.10226992416257744,-0.10745012187094871,-0.09909623438077747,-0.10746862395743564,-0.06810066803999631,-0.11500744171996485,-0.16041066651818256,-0.08024671291455472,-0.08668985500318971,-0.05738722198490085,-0.06092211457582794,-0.04645647790968273,-0.018018788711044884,-0.05728272492677104,-0.1009005284818288
higherCI,-0.025674451369877165,0.0042830501281933345,-0.0009533812887470086,0.006960354327607728,-0.003993581593624035,0.034542069201405394,-0.00679811352128095,-0.05731552389680325,-0.010930645947787629,-0.026584337695535816,0.0032064581769571734,0.0021889629874318473,0.01581269178065248,0.04332777822378396,0.014819576400856668,-0.031274279710611294
RR,0.9233814662047677,0.9521873788673957,0.9472409798582124,0.9549770788185277,0.945793422926672,0.9833606889626343,0.9409147132965187,0.8968531925940356,0.9554348713941373,0.9449369282112671,0.9732732712575954,0.9710604319650813,0.984794889932716,1.0127349016868625,0.9789922289135502,0.9360490461951522
lowerRRCI,0.8748076640002935,0.9027858350673394,0.8981213179446357,0.9056555486288306,0.8981047009800601,0.9341664281402569,0.8913595106342838,0.8517939138893126,0.9228886297538178,0.9169614425401595,0.9442283725835442,0.9408965190467671,0.9546061061190572,0.9821425789918222,0.9443270468261761,0.9040229529491388
higherRRCI,0.9746523346990025,1.0042922354965094,0.9990470730348012,1.0069846338925599,0.9960143821485365,1.035145575207805,0.9932249413795825,0.9442960743796016,0.9891288764923214,0.9737659151990345,1.0032116043628507,1.00219136051596,1.0159383739754075,1.0442801310452494,1.0149299307843929,0.9692097020595775
AR,-0.08297603601482889,-0.050213458184539574,-0.05569756932357888,-0.047145551636876455,-0.057313336886601146,-0.01692086253205712,-0.06279558164891963,-0.11500968972148624,-0.0466438162769115,-0.058271690040694483,-0.027460662417935464,-0.029802025787782644,-0.015439875067104415,0.012574763312344263,-0.021458567765919305,-0.06832008863723046
lowerARCI,-0.14310841245632305,-0.10768242162927742,-0.11343532329075012,-0.10417255380813119,-0.11345592435797992,-0.070473065480211,-0.12188178627096109,-0.1739928915833346,-0.08355436155579443,-0.09055839603223412,-0.05906582457785783,-0.06281613307817456,-0.04755248640247161,-0.01818210653946861,-0.05895516109692847,-0.10616660421924148
higherARCI,-0.026006878964513567,0.004273890950065287,-0.0009538359011493548,0.006936187164604839,-0.004001566566605133,0.03395230202355786,-0.006821273145846485,-0.05898989430512631,-0.010990603718122263,-0.02694085343457857,0.003201322980001262,0.0021865689550864278,0.015688327543963168,0.042402540974257726,0.014710306920256263,-0.03176845823457291
isSignificant,True,False,True,False,True,False,True,True,True,True,False,False,False,False,False,True
