date,SO2,CO,O3,NO2,PM10,PM25,place
2016-01-01,0.006524875621890515,0.5572139303482588,0.01967303609341823,0.024590233545647523,55.33617021276596,45.97228144989339,BS
2016-01-02,0.00790453460620522,0.6715990453460622,0.018107942973523396,0.0305906313645621,58.84521384928717,46.40122199592668,BS
2016-01-03,0.008122685185185146,0.7550925925925925,0.014265873015872975,0.03456349206349203,61.206412825651306,47.03024193548387,BS
2016-01-04,0.006947867298578167,0.6661137440758289,0.02202642276422762,0.03341869918699187,81.78439425051334,63.100616016427104,BS
2016-01-05,0.00503512880562058,0.47517564402810364,0.014104417670682679,0.031602409638554194,46.2551867219917,30.691382765531063,BS
2016-01-06,0.004507109004739318,0.41872037914692056,0.02022357723577233,0.023717479674796694,38.1125,24.60764587525151,BS
2016-01-07,0.004190588235294101,0.44047058823529484,0.0219114688128772,0.01949698189134805,50.60557768924303,35.148073022312374,BS
2016-01-08,0.003997641509433948,0.37169811320754764,0.022455645161290273,0.01716129032258061,33.428,22.002083333333335,BS
2016-01-09,0.004655092592592569,0.4125000000000011,0.022930555555555523,0.02036309523809521,35.86878727634195,25.19681908548708,BS
2016-01-10,0.004798611111111085,0.43865740740740794,0.02460714285714283,0.02177976190476189,40.44047619047619,29.325396825396826,BS
2016-01-11,0.004617788461538446,0.41556603773585005,0.022242424242424227,0.023878787878787857,37.68484848484849,25.915151515151514,BS
2016-01-12,0.004817073170731685,0.417688679245284,0.01732459677419349,0.027165322580645145,35.708835341365464,23.03206412825651,BS
2016-01-13,0.0037764705882352787,0.37411764705882405,0.02472121212121207,0.0173064516129032,33.37074148296593,21.556224899598394,BS
2016-01-14,0.0042300469483567945,0.4333333333333342,0.019734939759036108,0.023887550200803215,38.570281124497996,27.306613226452907,BS
2016-01-15,0.006699074074074046,0.5949074074074073,0.015575396825396787,0.03684523809523811,67.70161290322581,45.6031746031746,BS
2016-01-16,0.006337962962962922,0.6354166666666656,0.012787698412698376,0.0395436507936508,80.69262295081967,60.07157057654076,BS
2016-01-17,0.006074074074074049,0.5076388888888891,0.023087301587301552,0.024900793650793594,49.78333333333333,38.68055555555556,BS
2016-01-18,0.003814285714285696,0.39190476190476226,0.0298089430894309,0.013782520325203225,35.75514403292181,26.815261044176708,BS
2016-01-19,0.003234042553191478,0.29739952718676155,0.03175506072874489,0.009271255060728716,23.491935483870968,12.071856287425149,BS
2016-01-20,0.004270396270396256,0.39184149184149275,0.02347484909456736,0.018440643863179017,32.17635270541082,22.16532258064516,BS
2016-01-21,0.004904872389791166,0.4334106728538295,0.016558648111331963,0.02764413518886675,38.26984126984127,25.75149105367793,BS
2016-01-22,0.004300469483568061,0.39084507042253613,0.020178714859437744,0.025429435483870937,32.206,20.864919354838708,BS
2016-01-23,0.005263888888888858,0.41481481481481564,0.027176587301587257,0.0162083333333333,42.12103174603175,29.443775100401606,BS
2016-01-24,0.0038356481481481314,0.3300925925925921,0.030488565488565447,0.009716269841269812,27.552894211576845,18.220858895705522,BS
2016-01-25,0.004055023923444962,0.4071770334928234,0.025634989200863916,0.017830265848670722,35.04365904365904,20.325,BS
2016-01-26,0.004620853080568695,0.44146919431279724,0.0273118503118503,0.020554878048780454,49.83811475409836,30.40082644628099,BS
2016-01-27,0.009883777239709417,0.6149882903981257,0.019777555110220387,0.03609218436873743,81.15506958250496,54.416326530612245,BS
2016-01-28,0.007207547169811294,0.670047169811321,0.013239919354838682,0.04441129032258064,75.88645418326693,53.950515463917526,BS
