,kma_jid,t_max,hu,lag1_t_max,lag1_hu,lag2_t_max,lag2_hu,lag3_t_max,lag3_hu,lag4_t_max,lag4_hu,lag5_t_max,lag5_hu,lag6_t_max,lag6_hu,lag7_t_max,lag7_hu,pd_in,date,place,month,day_of_week,day,weekdayname,holiday,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff,is_first,is_weekend
2447,20160602_CB,28.846666666999997,44.273333333000004,27.686666666999997,49.233333333000004,28.313333333000003,58.246666667,28.893333333,55.246666667,26.6,54.82,27.966666667,52.773333333000004,28.686666666999997,54.293333333,25.253333333,69.44,28,2016-06-02,CB,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2448,20160602_CN,27.38125,71.0125,28.04375,68.4125,26.25,76.68125,27.96875,72.8625,26.1125,70.45625,26.3375,68.175,27.9875,69.21875,24.375,79.8625,66,2016-06-02,CN,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2449,20160602_DG,28.0,54.8,25.1,52.0,30.8,47.1,32.3,52.9,28.6,57.8,29.2,50.6,29.1,54.6,28.2,66.1,49,2016-06-02,DG,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2450,20160602_DJ,29.3,51.1,28.4,59.1,27.9,64.9,29.4,66.0,26.9,60.8,28.0,57.5,29.1,58.4,26.4,74.0,39,2016-06-02,DJ,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2451,20160602_GB,26.875,53.433333333,25.1,53.070833333,30.025,53.066666667,28.016666667,60.416666667,27.6,61.220833333,28.783333333,54.375,27.3125,57.129166667,27.5625,63.579166666999996,67,2016-06-02,GB,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2452,20160602_GG,28.788095238,47.504761905,29.20952381,54.285714286,27.321428571,71.48095238100001,28.523809524,64.25952381,27.126190475999998,62.530952381000006,27.471428571,63.378571429,27.254761905,66.714285714,23.402380951999998,76.397619048,218,2016-06-02,GG,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2453,20160602_GJ,28.4,70.8,28.8,66.6,28.6,60.8,29.9,61.9,26.7,69.4,26.9,65.1,29.6,63.5,28.4,68.9,51,2016-06-02,GJ,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2454,20160602_GN,26.736363636,56.240909091000006,26.122727273000002,52.23636363600001,30.290909091,58.622727273,31.013636364,60.240909091000006,26.127272726999998,76.231818182,26.459090909,68.58181818199999,28.695454545,56.759090908999994,27.931818181999997,66.518181818,78,2016-06-02,GN,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2455,20160602_GW,26.8,51.166666667,26.033333333,53.772222221999996,27.616666666999997,58.333333333,27.122222221999998,64.261111111,27.066666667,61.711111111,28.833333333000002,54.761111111000005,26.038888889000003,63.872222222,23.7,70.133333333,39,2016-06-02,GW,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2456,20160602_IC,25.49,66.42,27.57,64.65,23.08,91.33,24.68,83.85,24.44,84.47,23.8,79.01,24.45,87.64,20.11,95.39,58,2016-06-02,IC,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2457,20160602_JB,27.586666667,67.82,27.526666666999997,68.34,26.853333333000002,67.226666667,27.513333333000002,70.313333333,25.24,72.21333333300001,26.32,62.546666667,28.806666667,62.013333333,26.1,71.66,100,2016-06-02,JB,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2458,20160602_JJ,24.25,55.75,22.75,68.85,25.1,58.7,25.55,69.55,19.25,94.15,22.4,85.45,22.6,86.1,23.4,72.5,19,2016-06-02,JJ,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2459,20160602_JN,25.940909090999998,69.495454545,26.845454545,66.604545455,27.05,66.0,28.827272726999997,67.68636363600001,25.281818182,77.381818182,24.75,77.2,27.613636364,71.904545455,26.809090909000002,73.577272727,68,2016-06-02,JN,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2460,20160602_SU,29.1,38.3,29.9,45.8,27.6,63.6,28.9,57.3,27.6,56.1,28.0,56.1,27.1,61.3,22.9,72.0,260,2016-06-02,SU,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2461,20160602_US,23.8,65.9,21.6,63.5,30.3,54.3,26.8,72.5,26.7,65.8,26.8,62.9,25.4,57.1,27.6,63.9,12,2016-06-02,US,6,3,2,Thursday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2462,20160603_BS,25.7,49.4,24.0,60.5,23.6,53.5,30.5,55.1,26.6,62.3,25.4,75.4,24.1,65.5,26.7,52.6,87,2016-06-03,BS,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2463,20160603_CB,28.726666666999996,53.206666667,28.846666666999997,44.273333333000004,27.686666666999997,49.233333333000004,28.313333333000003,58.246666667,28.893333333,55.246666667,26.6,54.82,27.966666667,52.773333333000004,28.686666666999997,54.293333333,26,2016-06-03,CB,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2464,20160603_CN,28.01875,67.7,27.38125,71.0125,28.04375,68.4125,26.25,76.68125,27.96875,72.8625,26.1125,70.45625,26.3375,68.175,27.9875,69.21875,56,2016-06-03,CN,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2465,20160603_DG,31.2,44.8,28.0,54.8,25.1,52.0,30.8,47.1,32.3,52.9,28.6,57.8,29.2,50.6,29.1,54.6,70,2016-06-03,DG,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2466,20160603_DJ,29.0,60.1,29.3,51.1,28.4,59.1,27.9,64.9,29.4,66.0,26.9,60.8,28.0,57.5,29.1,58.4,26,2016-06-03,DJ,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2467,20160603_GB,29.716666667,50.833333333,26.875,53.433333333,25.1,53.070833333,30.025,53.066666667,28.016666667,60.416666667,27.6,61.220833333,28.783333333,54.375,27.3125,57.129166667,71,2016-06-03,GB,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2468,20160603_GG,27.816666667,55.688095238,28.788095238,47.504761905,29.20952381,54.285714286,27.321428571,71.48095238100001,28.523809524,64.25952381,27.126190475999998,62.530952381000006,27.471428571,63.378571429,27.254761905,66.714285714,190,2016-06-03,GG,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2469,20160603_GJ,28.6,61.8,28.4,70.8,28.8,66.6,28.6,60.8,29.9,61.9,26.7,69.4,26.9,65.1,29.6,63.5,40,2016-06-03,GJ,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2470,20160603_GN,28.204545455,55.731818182,26.736363636,56.240909091000006,26.122727273000002,52.23636363600001,30.290909091,58.622727273,31.013636364,60.240909091000006,26.127272726999998,76.231818182,26.459090909,68.58181818199999,28.695454545,56.759090908999994,62,2016-06-03,GN,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2471,20160603_GW,28.383333333000003,51.105555556000006,26.8,51.166666667,26.033333333,53.772222221999996,27.616666666999997,58.333333333,27.122222221999998,64.261111111,27.066666667,61.711111111,28.833333333000002,54.761111111000005,26.038888889000003,63.872222222,42,2016-06-03,GW,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2472,20160603_IC,24.44,70.86,25.49,66.42,27.57,64.65,23.08,91.33,24.68,83.85,24.44,84.47,23.8,79.01,24.45,87.64,49,2016-06-03,IC,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2473,20160603_JB,28.433333333,62.186666667,27.586666667,67.82,27.526666666999997,68.34,26.853333333000002,67.226666667,27.513333333000002,70.313333333,25.24,72.21333333300001,26.32,62.546666667,28.806666667,62.013333333,69,2016-06-03,JB,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2474,20160603_JJ,26.75,58.25,24.25,55.75,22.75,68.85,25.1,58.7,25.55,69.55,19.25,94.15,22.4,85.45,22.6,86.1,20,2016-06-03,JJ,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2475,20160603_JN,26.8,65.654545455,25.940909090999998,69.495454545,26.845454545,66.604545455,27.05,66.0,28.827272726999997,67.68636363600001,25.281818182,77.381818182,24.75,77.2,27.613636364,71.904545455,70,2016-06-03,JN,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
